Country,Death,Elevation,Location,Name,Type,VEI,Year
Papua New Guinea,,688,New Britain-SW Pac,Rabaul,Pyroclastic shield,2,1850
Philippines,34,2462,Luzon-Philippines,Mayon,Stratovolcano,3,1853
Taiwan,,0,Taiwan-E of,Unnamed,Submarine volcano,2,1853
Tonga,25,260,Tonga-SW Pacific,Niuafo'ou,Shield volcano,0,1853
Japan,3,1592,Kyushu-Japan,Aso,Caldera,2,1854
Russia,,2339,Kuril Is,Alaid,Stratovolcano,3,1854
Russia,,3283,Kamchatka,Shiveluch,Stratovolcano,5,1854
Indonesia,2806,1320,Sangihe Is-Indonesia,Awu,Stratovolcano,3,1856
Japan,20,1140,Hokkaido-Japan,Komaga-take,Stratovolcano,4,1856
United States,,2857,Aleutian Is,Shishaldin,Stratovolcano,,1856
Papua New Guinea,,1548,New Guinea-NE of,Umboi,Complex volcano,,1857
Japan,,2621,Honshu-Japan,Tate-yama,Stratovolcano,,1858
Japan,,2621,Honshu-Japan,Tate-yama,Stratovolcano,,1858
Philippines,,2462,Luzon-Philippines,Mayon,Stratovolcano,2,1858
Guatemala,,3763,Guatemala,Fuego,Stratovolcano,2,1860
Iceland,1,1725,Iceland-NE,Grimsvotn,Caldera,,1860
Indonesia,,3676,Java,Semeru,Stratovolcano,2,1860
Eritrea,106,1625,Africa-NE,Dubbi,Stratovolcano,3,1861
Iceland,,1725,Iceland-NE,Grimsvotn,Caldera,2,1861
Indonesia,326,1357,Halmahera-Indonesia,Makian,Stratovolcano,4,1861
Vanuatu,,361,Vanuatu-SW Pacific,Yasur,Stratovolcano,,1863
Indonesia,54,1731,Java,Kelut,Stratovolcano,2,1864
Greece,1,329,Greece,Santorini,Shield volcano,2,1866
United States,,639,Samoa-SW Pacific,Ofu-Olosega,Shield volcano,2,1866
Japan,3,1841,Honshu-Japan,Zao,Complex volcano,2,1867
Italy,,3350,Italy,Etna,Stratovolcano,,1868
United States,,4170,Hawaiian Is,Mauna Loa,Shield volcano,2,1868
Indonesia,2,1703,Lesser Sunda Is,Lewotobi,Stratovolcano,2,1869
Indonesia,8,1651,Java,Lamongan,Stratovolcano,2,1869
Indonesia,,725,Sangihe Is-Indonesia,Ruang,Stratovolcano,2,1870
Indonesia,,1018,Lesser Sunda Is,Iliwerung,Complex volcano,3,1870
Vanuatu,,1496,Vanuatu-SW Pacific,Aoba,Shield volcano,2,1870
Indonesia,1,1715,Halmahera-Indonesia,Gamalama,Stratovolcano,2,1871
Indonesia,,725,Sangihe Is-Indonesia,Ruang,Stratovolcano,2,1871
Philippines,3,2462,Luzon-Philippines,Mayon,Stratovolcano,3,1871
Philippines,,1332,Mindanao-Philippines,Camiguin,Stratovolcano,2,1871
Indonesia,30,2947,Java,Merapi,Stratovolcano,4,1872
Indonesia,170,2947,Java,Merapi,Stratovolcano,4,1872
Indonesia,200,2947,Java,Merapi,Stratovolcano,4,1872
Italy,9,1281,Italy,Vesuvius,Complex volcano,3,1872
Japan,4,1592,Kyushu-Japan,Aso,Caldera,3,1872
Russia,,934,Kuril Is,Sinarka,Stratovolcano,4,1872
Italy,9,1281,Italy,Vesuvius,Complex volcano,,1873
Philippines,,2815,Mindanao-Philippines,Ragang,Stratovolcano,2,1873
Japan,1,815,Izu Is-Japan,Miyake-jima,Stratovolcano,3,1874
Philippines,,400,Luzon-Philippines,Taal,Stratovolcano,2,1874
Iceland,,1516,Iceland-NE,Askja,Stratovolcano,5,1875
Indonesia,,1731,Java,Kelut,Stratovolcano,0,1875
Philippines,1500,2462,Luzon-Philippines,Mayon,Stratovolcano,,1875
Ecuador,340,5911,Ecuador,Cotopaxi,Stratovolcano,4,1877
United States,,4170,Hawaiian Is,Mauna Loa,Shield volcano,0,1877
Papua New Guinea,1,688,New Britain-SW Pac,Rabaul,Pyroclastic shield,3,1878
United States,,1073,Aleutian Is,Okmok,Shield volcano,2,1878
Vanuatu,,361,Vanuatu-SW Pacific,Yasur,Stratovolcano,3,1878
Vanuatu,,361,Vanuatu-SW Pacific,Yasur,Stratovolcano,,1878
Italy,,926,Italy,Stromboli,Stratovolcano,2,1879
Comoros,,2361,Indian O-W,Karthala,Shield volcano,2,1883
Indonesia,2000,813,Indonesia,Krakatau,Caldera,6,1883
Indonesia,,813,Indonesia,Krakatau,Caldera,,1883
Papua New Guinea,,1750,Bougainville-SW Paci,Bagana,Lava cone,3,1883
United States,8,1252,Alaska-SW,Augustine,Lava dome,4,1883
